,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
485,6306,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
486,6310,경남 양산시,쇠퇴기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
487,6333,경기 용인시 처인구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,에너지/화학/정밀
488,6373,경기 광주시,초기성장기,있음,법인,2,0,0,0,0,2,서울/인천/경기,도소매/연구개발서비스/기타서비스
489,6376,전북 군산시,쇠퇴기,있음,개인,1,0,0,0,1,0,광주/전라/제주,기계/자동차/금속
490,6385,경기 시흥시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
491,6400,경기 고양시 일산서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
492,6411,경북 칠곡군,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
493,6425,경북 포항시 남구,성숙기,있음,법인,2,0,0,0,2,0,대구/경북,기타
494,6427,경기 의정부시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
495,6428,대구 달서구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,정보통신/방송서비스
496,6438,경기 김포시,쇠퇴기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
497,6448,경기 포천시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
498,6459,경북 경산시,초기성장기,있음,법인,2,0,0,0,0,2,대구/경북,기계/자동차/금속
499,6469,강원 원주시,성숙기,있음,법인,5,0,0,2,2,1,대전/세종/충청/강원,의료/제약
500,6506,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
501,6525,강원 원주시,성숙기,있음,법인,5,0,0,5,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
502,6526,광주 광산구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,음식료/섬유/비금속/기타제조
503,6537,인천 남동구,쇠퇴기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
504,6550,인천 서구,성숙기,있음,법인,2,0,0,0,0,2,서울/인천/경기,음식료/섬유/비금속/기타제조
505,6559,경기 성남시 분당구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
506,6560,전북 전주시 완산구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기타
507,6588,서울 강남구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
508,6591,서울 양천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
509,6596,충북 청주시 상당구,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
510,6609,경기 용인시 수지구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,의료/제약
511,6617,서울 금천구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
512,6651,광주 북구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,음식료/섬유/비금속/기타제조
513,6660,전북 전주시 덕진구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
514,6679,경기 안양시 동안구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
515,6694,경기 성남시 중원구,고도성장기,있음,법인,21,0,0,10,11,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
516,6705,충남 아산시,성숙기,있음,법인,10,0,0,2,3,5,대전/세종/충청/강원,의료/제약
