,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
1898,26654,부산 해운대구,성숙기,있음,법인,3,0,0,2,1,0,부산/경남/울산,소프트웨어개발/IT기반서비스
1899,26655,부산 해운대구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
1900,26690,대전 유성구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
1901,26698,인천 중구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1902,26703,서울 송파구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1903,26723,경기 시흥시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1904,26737,경기 김포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1905,26750,충북 보은군,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
1906,26764,인천 미추홀구,초기성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,에너지/화학/정밀
1907,26771,인천 서구,쇠퇴기,없음,개인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1908,26809,경남 창원시 의창구,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
1909,26826,서울 송파구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1910,26847,강원 강릉시,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
1911,26848,광주 북구,초기성장기,있음,법인,2,0,0,1,1,0,광주/전라/제주,음식료/섬유/비금속/기타제조
1912,26859,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1913,26893,경기 하남시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1914,26927,서울 금천구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1915,26939,경기 부천시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1916,26953,서울 강남구,고도성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,정보통신/방송서비스
1917,26996,충남 예산군,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
1918,26997,경기 포천시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1919,27041,경기 화성시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
1920,27062,서울 마포구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1921,27063,광주 광산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
1922,27085,강원 춘천시,고도성장기,있음,법인,3,0,1,2,0,0,대전/세종/충청/강원,의료/제약
1923,27097,경기 안양시 동안구,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1924,27100,세종 연동면,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
1925,27105,전북 전주시 덕진구,성숙기,있음,법인,2,0,0,2,0,0,광주/전라/제주,컴퓨터/반도체/전자부품
1926,27117,충북 청주시 청원구,고도성장기,있음,법인,3,0,0,3,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1927,27119,대구 남구,성숙기,있음,법인,5,0,0,2,3,0,대구/경북,소프트웨어개발/IT기반서비스
1928,27134,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1929,27141,부산 강서구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
1930,27143,광주 광산구,고도성장기,없음,개인,0,0,0,0,0,0,광주/전라/제주,도소매/연구개발서비스/기타서비스
1931,27171,경기 김포시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1932,27209,서울 성동구,고도성장기,있음,법인,3,0,0,1,2,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1933,27266,울산 울주군,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
1934,27278,경기 안양시 동안구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1935,27288,경기 파주시,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
1936,27294,부산 사하구,초기성장기,있음,법인,1,0,0,1,0,0,부산/경남/울산,기계/자동차/금속
1937,27317,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
1938,27333,강원 원주시,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,의료/제약
1939,27390,경기 부천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1940,27396,충남 천안시 서북구,쇠퇴기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
1941,27421,서울 성북구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1942,27435,부산 강서구,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1943,27441,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1944,27478,충남 당진시,창업기,있음,법인,5,0,0,5,0,0,대전/세종/충청/강원,기계/자동차/금속
1945,27493,서울 영등포구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1946,27532,대전 유성구,고도성장기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,기계/자동차/금속
1947,27552,경기 화성시,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1948,27557,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1949,27563,경기 평택시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1950,27583,서울 강남구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1951,27597,서울 서초구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1952,27607,경기 용인시 수지구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1953,27615,인천 남동구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1954,27624,서울 서초구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1955,27640,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1956,27642,광주 광산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1957,27645,인천 부평구,고도성장기,있음,법인,2,0,0,0,0,2,서울/인천/경기,음식료/섬유/비금속/기타제조
1958,27646,경남 진주시,고도성장기,있음,법인,1,0,0,1,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
1959,27653,전남 영암군,초기성장기,있음,법인,2,0,0,0,0,2,광주/전라/제주,음식료/섬유/비금속/기타제조
1960,27670,경남 창원시 성산구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1961,27677,경남 창원시 성산구,초기성장기,없음,개인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
1962,27700,대구 달서구,성숙기,있음,법인,10,0,0,5,5,0,대구/경북,의료/제약
1963,27709,경기 의왕시,초기성장기,있음,개인,1,0,0,1,0,0,서울/인천/경기,의료/제약
1964,27718,경남 김해시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1965,27724,경기 수원시 영통구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1966,27730,전북 전주시 덕진구,성숙기,있음,개인,3,0,0,0,0,3,광주/전라/제주,음식료/섬유/비금속/기타제조
1967,27732,대전 대덕구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
1968,27737,경기 시흥시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,의료/제약
1969,27767,경북 성주군,초기성장기,없음,법인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
1970,27792,서울 성동구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1971,27795,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1972,27834,경기 수원시 영통구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
1973,27837,전북 김제시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,에너지/화학/정밀
1974,27887,서울 송파구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1975,27899,경기 용인시 기흥구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1976,27905,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
1977,27916,경기 부천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1978,27921,서울 강남구,고도성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1979,27930,충남 당진시,성숙기,있음,법인,15,0,0,4,1,10,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
1980,27941,경기 부천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
1981,27945,경기 김포시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
1982,27946,충남 천안시 서북구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
1983,27947,경기 구리시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
1984,27962,경남 김해시,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1985,27968,경기 부천시,쇠퇴기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1986,27977,부산 해운대구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
1987,27980,인천 미추홀구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
1988,27991,경남 김해시,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
1989,28012,경기 부천시,성숙기,있음,개인,3,0,0,0,0,3,서울/인천/경기,에너지/화학/정밀
1990,28050,대전 유성구,고도성장기,있음,법인,4,0,0,4,0,0,대전/세종/충청/강원,에너지/화학/정밀
1991,28064,충북 청주시 흥덕구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,정보통신/방송서비스
1992,28065,대전 서구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,정보통신/방송서비스
1993,28113,광주 북구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
1994,28115,부산 중구,고도성장기,있음,법인,5,0,0,1,2,2,부산/경남/울산,기타
1995,28117,경기 성남시 수정구,고도성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
1996,28125,경기 성남시 분당구,성숙기,있음,법인,3,0,0,3,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
1997,28160,대구 달서구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
1998,28176,서울 마포구,초기성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,정보통신/방송서비스
1999,28177,세종 소정면,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2000,28180,경기 용인시 기흥구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2001,28202,경기 김포시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2002,28236,세종 부강면,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2003,28246,서울 강서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
2004,28247,경기 수원시 영통구,성숙기,있음,법인,10,0,0,5,3,2,서울/인천/경기,의료/제약
2005,28257,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2006,28278,서울 송파구,고도성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2007,28303,광주 북구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
2008,28308,인천 서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
2009,28313,경기 고양시 일산동구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2010,28332,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2011,28367,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
2012,28394,서울 서초구,성숙기,있음,법인,2,0,0,0,2,0,서울/인천/경기,소프트웨어개발/IT기반서비스
2013,28397,서울 성동구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
2014,28420,서울 마포구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
2015,28430,서울 금천구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
2016,28431,강원 원주시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2017,28446,부산 해운대구,고도성장기,있음,법인,2,0,0,2,0,0,부산/경남/울산,기계/자동차/금속
2018,28450,서울 송파구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
2019,28463,경북 구미시,초기성장기,있음,법인,1,0,0,1,0,0,대구/경북,도소매/연구개발서비스/기타서비스
2020,28471,부산 강서구,성숙기,있음,법인,3,0,0,1,1,1,부산/경남/울산,기타
2021,28502,경기 이천시,성숙기,있음,법인,5,0,0,5,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2022,28507,경기 김포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
2023,28557,경기 안양시 동안구,성숙기,있음,법인,3,0,0,2,1,0,서울/인천/경기,통신기기/방송기기
2024,28588,경기 평택시,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2025,28590,충북 청주시 흥덕구,성숙기,있음,법인,10,0,0,10,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
2026,28602,경기 수원시 권선구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2027,28610,서울 구로구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
2028,28622,전남 나주시,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
2029,28633,부산 강서구,성숙기,있음,개인,1,0,0,0,0,1,부산/경남/울산,도소매/연구개발서비스/기타서비스
2030,28638,경기 성남시 중원구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2031,28646,경기 부천시,고도성장기,있음,법인,20,0,0,20,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2032,28650,충남 천안시 서북구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
2033,28651,경기 파주시,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2034,28660,경기 안양시 동안구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
2035,28668,부산 사하구,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,정보통신/방송서비스
2036,28740,경남 창원시 성산구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
2037,28752,충남 아산시,고도성장기,있음,법인,1,0,0,0,0,1,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
2038,28785,경기 용인시 처인구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2039,28805,경북 구미시,성숙기,있음,법인,4,0,0,4,0,0,대구/경북,통신기기/방송기기
2040,28857,경남 사천시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
2041,28890,경북 구미시,초기성장기,없음,법인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
2042,28913,서울 강서구,초기성장기,있음,개인,1,0,0,1,0,0,서울/인천/경기,정보통신/방송서비스
2043,28952,부산 사하구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,컴퓨터/반도체/전자부품
2044,28966,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
2045,28978,경북 김천시,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,컴퓨터/반도체/전자부품
2046,29011,경북 경주시,고도성장기,있음,법인,1,0,0,1,0,0,대구/경북,에너지/화학/정밀
2047,29032,서울 송파구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2048,29058,경남 김해시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
2049,29069,대구 달서구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
2050,29074,부산 사하구,고도성장기,없음,개인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
2051,29084,경기 시흥시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2052,29085,경기 파주시,성숙기,있음,법인,4,0,0,4,0,0,서울/인천/경기,에너지/화학/정밀
2053,29096,경기 광명시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
2054,29127,부산 사하구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
2055,29142,전남 함평군,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,음식료/섬유/비금속/기타제조
2056,29143,충북 충주시,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2057,29251,경기 의왕시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2058,29279,충북 청주시 흥덕구,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2059,29298,경기 성남시 분당구,성숙기,있음,법인,4,0,0,4,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2060,29319,대전 서구,고도성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
2061,29321,대구 북구,성숙기,있음,법인,6,0,0,3,2,1,대구/경북,기타
2062,29331,경기 화성시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
2063,29336,울산 남구,초기성장기,있음,법인,1,0,0,1,0,0,부산/경남/울산,정보통신/방송서비스
2064,29343,경기 김포시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
2065,29446,충남 천안시 서북구,초기성장기,있음,개인,1,0,0,0,1,0,대전/세종/충청/강원,에너지/화학/정밀
2066,29447,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2067,29520,광주 북구,초기성장기,있음,법인,2,0,0,2,0,0,광주/전라/제주,컴퓨터/반도체/전자부품
2068,29528,대전 유성구,성숙기,있음,법인,15,0,2,10,3,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
2069,29539,인천 서구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
2070,29546,전북 전주시 완산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,컴퓨터/반도체/전자부품
2071,29556,경남 진주시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기타
2072,29575,경기 시흥시,성숙기,있음,법인,2,0,0,0,2,0,서울/인천/경기,컴퓨터/반도체/전자부품
2073,29606,전남 나주시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,컴퓨터/반도체/전자부품
2074,29607,대전 동구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
2075,29609,부산 기장군,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
2076,29614,충남 청양군,성숙기,있음,법인,5,0,0,2,2,1,대전/세종/충청/강원,기타
2077,29636,충남 천안시 서북구,성숙기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
2078,29647,서울 금천구,고도성장기,있음,법인,5,0,0,2,2,1,서울/인천/경기,기타
2079,29653,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2080,29661,경기 파주시,성숙기,있음,법인,15,0,2,5,5,3,서울/인천/경기,의료/제약
2081,29695,경기 부천시,고도성장기,있음,법인,6,0,0,6,0,0,서울/인천/경기,통신기기/방송기기
2082,29697,경남 김해시,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,컴퓨터/반도체/전자부품
2083,29749,경기 평택시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
2084,29753,충남 금산군,성숙기,있음,법인,3,0,0,1,1,1,대전/세종/충청/강원,기타
2085,29767,서울 금천구,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
2086,29773,인천 계양구,성숙기,있음,개인,5,0,0,0,2,3,서울/인천/경기,기계/자동차/금속
2087,29805,경기 남양주시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2088,29806,경기 김포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
2089,29807,충북 청주시 서원구,고도성장기,있음,법인,2,0,0,0,2,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
2090,29881,경기 시흥시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
2091,29917,대전 서구,성숙기,있음,법인,10,0,0,2,5,3,대전/세종/충청/강원,기타
2092,29963,경남 창원시 성산구,초기성장기,있음,개인,2,0,0,0,1,1,부산/경남/울산,기계/자동차/금속
2093,30003,서울 서초구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
2094,30038,서울 금천구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
2095,30040,울산 울주군,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,컴퓨터/반도체/전자부품
2096,30064,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2097,30090,인천 서구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2098,30130,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
2099,30136,충북 제천시,성숙기,있음,법인,1,0,1,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
2100,30143,인천 계양구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2101,30144,전남 여수시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,음식료/섬유/비금속/기타제조
2102,30183,경기 안양시 동안구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
2103,30188,경남 함안군,성숙기,있음,개인,2,0,0,0,0,2,부산/경남/울산,기계/자동차/금속
2104,30201,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
2105,30242,경북 청도군,고도성장기,있음,법인,5,0,0,0,0,5,대구/경북,음식료/섬유/비금속/기타제조
2106,30250,충남 서산시,초기성장기,있음,법인,1,0,0,1,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
2107,30260,경기 용인시 처인구,성숙기,있음,법인,15,0,2,1,0,12,서울/인천/경기,의료/제약
2108,30270,경기 수원시 권선구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2109,30281,서울 영등포구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2110,30288,부산 강서구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
2111,30327,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
2112,30342,경기 성남시 분당구,성숙기,있음,법인,5,0,0,3,1,1,서울/인천/경기,소프트웨어개발/IT기반서비스
2113,30368,서울 성북구,성숙기,있음,법인,4,0,0,4,0,0,서울/인천/경기,에너지/화학/정밀
2114,30378,충남 아산시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
2115,30394,대전 유성구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,정보통신/방송서비스
2116,30401,대전 유성구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,정보통신/방송서비스
2117,30428,충남 공주시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
2118,30436,서울 마포구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,기타
2119,30438,부산 해운대구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
2120,30446,부산 중구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
2121,30511,경기 화성시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2122,30518,경기 성남시 수정구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
2123,30530,경남 사천시,초기성장기,없음,개인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
2124,30546,충남 천안시 동남구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
2125,30552,경기 성남시 분당구,고도성장기,있음,법인,3,0,0,1,1,1,서울/인천/경기,기타
2126,30665,광주 북구,초기성장기,있음,법인,2,0,2,0,0,0,광주/전라/제주,에너지/화학/정밀
2127,30667,전북 전주시 완산구,초기성장기,있음,개인,5,0,0,2,2,1,광주/전라/제주,정보통신/방송서비스
2128,30693,충남 천안시 서북구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
2129,30731,충북 청주시 흥덕구,성숙기,있음,법인,10,0,0,2,3,5,대전/세종/충청/강원,의료/제약
